season,club,position,expenditure_m,points
1992/93,NA,1,0,84
1992/93,NA,2,0,74
1992/93,NA,3,0,72
1992/93,NA,4,0,71
1992/93,NA,5,0,63
1992/93,NA,6,0,59
1992/93,NA,7,0,59
1992/93,NA,8,0,59
1992/93,NA,9,0,57
1992/93,NA,10,0,56
1992/93,NA,11,0,56
1992/93,NA,12,0,54
1992/93,NA,13,0,53
1992/93,NA,14,0,52
1992/93,NA,15,0,52
1992/93,NA,16,0,52
1992/93,NA,17,0,51
1992/93,NA,18,0,50
1992/93,NA,19,0,49
1992/93,NA,20,0,49
1992/93,NA,21,0,44
1992/93,NA,22,0,40
1993/94,NA,1,0,92
1993/94,NA,2,0,84
1993/94,NA,3,0,77
1993/94,NA,4,0,71
1993/94,NA,5,0,70
1993/94,NA,6,0,65
1993/94,NA,7,0,64
1993/94,NA,8,0,60
1993/94,NA,9,0,60
1993/94,NA,10,0,57
1993/94,NA,11,0,56
1993/94,NA,12,0,53
1993/94,NA,13,0,52
1993/94,NA,14,0,51
1993/94,NA,15,0,45
1993/94,NA,16,0,45
1993/94,NA,17,0,44
1993/94,NA,18,0,43
1993/94,NA,19,0,43
1993/94,NA,20,0,42
1993/94,NA,21,0,40
1993/94,NA,22,0,30
1994/95,NA,1,0,89
1994/95,NA,2,0,88
1994/95,NA,3,0,77
1994/95,NA,4,0,74
1994/95,NA,5,0,73
1994/95,NA,6,0,72
1994/95,NA,7,0,62
1994/95,NA,8,0,60
1994/95,NA,9,0,56
1994/95,NA,10,0,54
1994/95,NA,11,0,54
1994/95,NA,12,0,51
1994/95,NA,13,0,51
1994/95,NA,14,0,50
1994/95,NA,15,0,50
1994/95,NA,16,0,50
1994/95,NA,17,0,49
1994/95,NA,18,0,48
1994/95,NA,19,0,45
1994/95,NA,20,0,43
1994/95,NA,21,0,29
1994/95,NA,22,0,27
1995/96,NA,1,0,82
1995/96,NA,2,0,78
1995/96,NA,3,0,71
1995/96,NA,4,0,63
1995/96,NA,5,0,63
1995/96,NA,6,0,61
1995/96,NA,7,0,61
1995/96,NA,8,0,61
1995/96,NA,9,0,58
1995/96,NA,10,0,51
1995/96,NA,11,0,50
1995/96,NA,12,0,43
1995/96,NA,13,0,43
1995/96,NA,14,0,41
1995/96,NA,15,0,40
1995/96,NA,16,0,38
1995/96,NA,17,0,38
1995/96,NA,18,0,38
1995/96,NA,19,0,33
1995/96,NA,20,0,29
1996/97,NA,1,0,75
1996/97,NA,2,0,68
1996/97,NA,3,0,68
1996/97,NA,4,0,68
1996/97,NA,5,0,61
1996/97,NA,6,0,59
1996/97,NA,7,0,57
1996/97,NA,8,0,56
1996/97,NA,9,0,47
1996/97,NA,10,0,46
1996/97,NA,11,0,46
1996/97,NA,12,0,46
1996/97,NA,13,0,42
1996/97,NA,14,0,42
1996/97,NA,15,0,42
1996/97,NA,16,0,41
1996/97,NA,17,0,41
1996/97,NA,18,0,40
1996/97,NA,19,0,39
1996/97,NA,20,0,34
1997/98,NA,1,0,78
1997/98,NA,2,0,77
1997/98,NA,3,0,65
1997/98,NA,4,0,63
1997/98,NA,5,0,59
1997/98,NA,6,0,58
1997/98,NA,7,0,57
1997/98,NA,8,0,56
1997/98,NA,9,0,55
1997/98,NA,10,0,53
1997/98,NA,11,0,52
1997/98,NA,12,0,48
1997/98,NA,13,0,44
1997/98,NA,14,0,44
1997/98,NA,15,0,44
1997/98,NA,16,0,44
1997/98,NA,17,0,40
1997/98,NA,18,0,40
1997/98,NA,19,0,35
1997/98,NA,20,0,33
1998/99,NA,1,0,79
