position,club,points,expenditure_m,season
1,NA,84,0,1992/93
2,NA,74,0,1992/93
3,NA,72,0,1992/93
4,NA,71,0,1992/93
5,NA,63,0,1992/93
6,NA,59,0,1992/93
7,NA,59,0,1992/93
8,NA,59,0,1992/93
9,NA,57,0,1992/93
10,NA,56,0,1992/93
11,NA,56,0,1992/93
12,NA,54,0,1992/93
13,NA,53,0,1992/93
14,NA,52,0,1992/93
15,NA,52,0,1992/93
16,NA,52,0,1992/93
17,NA,51,0,1992/93
18,NA,50,0,1992/93
19,NA,49,0,1992/93
20,NA,49,0,1992/93
21,NA,44,0,1992/93
22,NA,40,0,1992/93
1,NA,92,0,1993/94
2,NA,84,0,1993/94
3,NA,77,0,1993/94
4,NA,71,0,1993/94
5,NA,70,0,1993/94
6,NA,65,0,1993/94
7,NA,64,0,1993/94
8,NA,60,0,1993/94
9,NA,60,0,1993/94
10,NA,57,0,1993/94
11,NA,56,0,1993/94
12,NA,53,0,1993/94
13,NA,52,0,1993/94
14,NA,51,0,1993/94
15,NA,45,0,1993/94
16,NA,45,0,1993/94
17,NA,44,0,1993/94
18,NA,43,0,1993/94
19,NA,43,0,1993/94
20,NA,42,0,1993/94
21,NA,40,0,1993/94
22,NA,30,0,1993/94
1,NA,89,0,1994/95
2,NA,88,0,1994/95
3,NA,77,0,1994/95
4,NA,74,0,1994/95
5,NA,73,0,1994/95
6,NA,72,0,1994/95
7,NA,62,0,1994/95
8,NA,60,0,1994/95
9,NA,56,0,1994/95
10,NA,54,0,1994/95
11,NA,54,0,1994/95
12,NA,51,0,1994/95
13,NA,51,0,1994/95
14,NA,50,0,1994/95
15,NA,50,0,1994/95
16,NA,50,0,1994/95
17,NA,49,0,1994/95
18,NA,48,0,1994/95
19,NA,45,0,1994/95
20,NA,43,0,1994/95
21,NA,29,0,1994/95
22,NA,27,0,1994/95
1,NA,82,0,1995/96
2,NA,78,0,1995/96
3,NA,71,0,1995/96
4,NA,63,0,1995/96
5,NA,63,0,1995/96
6,NA,61,0,1995/96
7,NA,61,0,1995/96
8,NA,61,0,1995/96
9,NA,58,0,1995/96
10,NA,51,0,1995/96
11,NA,50,0,1995/96
12,NA,43,0,1995/96
13,NA,43,0,1995/96
14,NA,41,0,1995/96
15,NA,40,0,1995/96
16,NA,38,0,1995/96
17,NA,38,0,1995/96
18,NA,38,0,1995/96
19,NA,33,0,1995/96
20,NA,29,0,1995/96
1,NA,75,0,1996/97
2,NA,68,0,1996/97
3,NA,68,0,1996/97
4,NA,68,0,1996/97
5,NA,61,0,1996/97
6,NA,59,0,1996/97
7,NA,57,0,1996/97
8,NA,56,0,1996/97
9,NA,47,0,1996/97
10,NA,46,0,1996/97
11,NA,46,0,1996/97
12,NA,46,0,1996/97
13,NA,42,0,1996/97
14,NA,42,0,1996/97
15,NA,42,0,1996/97
16,NA,41,0,1996/97
17,NA,41,0,1996/97
18,NA,40,0,1996/97
19,NA,39,0,1996/97
20,NA,34,0,1996/97
1,NA,78,0,1997/98
2,NA,77,0,1997/98
3,NA,65,0,1997/98
4,NA,63,0,1997/98
5,NA,59,0,1997/98
6,NA,58,0,1997/98
7,NA,57,0,1997/98
8,NA,56,0,1997/98
9,NA,55,0,1997/98
10,NA,53,0,1997/98
11,NA,52,0,1997/98
12,NA,48,0,1997/98
13,NA,44,0,1997/98
14,NA,44,0,1997/98
15,NA,44,0,1997/98
16,NA,44,0,1997/98
17,NA,40,0,1997/98
18,NA,40,0,1997/98
19,NA,35,0,1997/98
20,NA,33,0,1997/98
1,NA,79,0,1998/99
2,NA,78,0,1998/99
3,NA,75,0,1998/99
4,NA,67,0,1998/99
5,NA,57,0,1998/99
6,NA,55,0,1998/99
7,NA,54,0,1998/99
8,NA,52,0,1998/99
9,NA,51,0,1998/99
10,NA,49,0,1998/99
11,NA,47,0,1998/99
12,NA,46,0,1998/99
13,NA,46,0,1998/99
14,NA,43,0,1998/99
15,NA,42,0,1998/99
16,NA,42,0,1998/99
17,NA,41,0,1998/99
18,NA,36,0,1998/99
19,NA,35,0,1998/99
20,NA,30,0,1998/99
1,NA,91,0,1999/00
2,NA,73,0,1999/00
3,NA,69,0,1999/00
4,NA,67,0,1999/00
5,NA,65,0,1999/00
6,NA,58,0,1999/00
7,NA,58,0,1999/00
8,NA,55,0,1999/00
9,NA,55,0,1999/00
10,NA,53,0,1999/00
11,NA,52,0,1999/00
12,NA,52,0,1999/00
13,NA,50,0,1999/00
14,NA,44,0,1999/00
15,NA,44,0,1999/00
16,NA,38,0,1999/00
17,NA,36,0,1999/00
18,NA,33,0,1999/00
19,NA,31,0,1999/00
20,NA,24,0,1999/00
1,NA,80,0,2000/01
2,NA,70,0,2000/01
3,NA,69,0,2000/01
4,NA,68,0,2000/01
5,NA,66,0,2000/01
6,NA,61,0,2000/01
7,NA,57,0,2000/01
8,NA,54,0,2000/01
9,NA,52,0,2000/01
10,NA,52,0,2000/01
11,NA,51,0,2000/01
12,NA,49,0,2000/01
13,NA,48,0,2000/01
14,NA,42,0,2000/01
15,NA,42,0,2000/01
16,NA,42,0,2000/01
17,NA,42,0,2000/01
18,NA,34,0,2000/01
19,NA,34,0,2000/01
20,NA,26,0,2000/01
1,NA,87,0,2001/02
2,NA,80,0,2001/02
3,NA,77,0,2001/02
4,NA,71,0,2001/02
5,NA,66,0,2001/02
6,NA,64,0,2001/02
7,NA,53,0,2001/02
8,NA,50,0,2001/02
9,NA,50,0,2001/02
10,NA,46,0,2001/02
11,NA,45,0,2001/02
12,NA,45,0,2001/02
13,NA,44,0,2001/02
14,NA,44,0,2001/02
15,NA,43,0,2001/02
16,NA,40,0,2001/02
17,NA,40,0,2001/02
18,NA,36,0,2001/02
19,NA,30,0,2001/02
20,NA,28,0,2001/02
1,NA,83,0,2002/03
2,NA,78,0,2002/03
3,NA,69,0,2002/03
4,NA,67,0,2002/03
5,NA,64,0,2002/03
6,NA,60,0,2002/03
7,NA,59,0,2002/03
8,NA,52,0,2002/03
9,NA,51,0,2002/03
10,NA,50,0,2002/03
11,NA,49,0,2002/03
12,NA,49,0,2002/03
13,NA,48,0,2002/03
14,NA,48,0,2002/03
15,NA,47,0,2002/03
16,NA,45,0,2002/03
17,NA,44,0,2002/03
18,NA,42,0,2002/03
19,NA,26,0,2002/03
20,NA,19,0,2002/03
1,NA,90,0,2003/04
2,NA,79,0,2003/04
3,NA,75,0,2003/04
4,NA,60,0,2003/04
5,NA,56,0,2003/04
6,NA,56,0,2003/04
7,NA,53,0,2003/04
8,NA,53,0,2003/04
9,NA,52,0,2003/04
10,NA,50,0,2003/04
11,NA,48,0,2003/04
12,NA,47,0,2003/04
13,NA,45,0,2003/04
14,NA,45,0,2003/04
15,NA,44,0,2003/04
16,NA,41,0,2003/04
17,NA,39,0,2003/04
18,NA,33,0,2003/04
19,NA,33,0,2003/04
20,NA,33,0,2003/04
1,NA,95,0,2004/05
2,NA,83,0,2004/05
3,NA,77,0,2004/05
4,NA,61,0,2004/05
5,NA,58,0,2004/05
6,NA,58,0,2004/05
7,NA,55,0,2004/05
8,NA,52,0,2004/05
9,NA,52,0,2004/05
10,NA,47,0,2004/05
11,NA,46,0,2004/05
12,NA,45,0,2004/05
13,NA,44,0,2004/05
14,NA,44,0,2004/05
15,NA,42,0,2004/05
16,NA,39,0,2004/05
17,NA,34,0,2004/05
18,NA,33,0,2004/05
19,NA,33,0,2004/05
